model,rank,beta,lambda_l2,lambda_keyphrase,lambda_latent,lambda_rating,topK,learning_rate,epoch,corruption,optimizer,MAP@10,MAP@15,MAP@20,MAP@5,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5
CE-VAE,200,0.0001,0.0001,0.001,0.01,1,,0.001,600,0.2,Adam,"[0.4093, 0.0068]","[0.4372, 0.0062]","[0.4459, 0.0059]","[0.3127, 0.0078]","[0.3016, 0.002]","[0.5198, 0.0057]","[0.4922, 0.0054]","[0.4726, 0.0053]","[0.3666, 0.0073]","[0.2584, 0.0017]","[0.1559, 0.0013]","[0.2196, 0.0015]","[0.2788, 0.0017]","[0.0464, 0.0008]"
CE-VAE,200,0.0001,0.0001,0.001,0.1,1,,0.0001,600,0.2,Adam,"[0.6488, 0.0063]","[0.6389, 0.0059]","[0.63, 0.0057]","[0.6607, 0.0075]","[0.4347, 0.0023]","[0.629, 0.0058]","[0.6126, 0.0055]","[0.5972, 0.0054]","[0.649, 0.0066]","[0.3441, 0.0023]","[0.1982, 0.0019]","[0.2881, 0.0023]","[0.3708, 0.0026]","[0.103, 0.0013]"
CE-VAE,200,0.0001,0.0001,0.001,0.1,1,,0.0005,600,0.2,Adam,"[0.4093, 0.0068]","[0.4372, 0.0062]","[0.4459, 0.0059]","[0.3127, 0.0078]","[0.3016, 0.002]","[0.5198, 0.0057]","[0.4922, 0.0054]","[0.4726, 0.0053]","[0.3666, 0.0073]","[0.2584, 0.0017]","[0.1559, 0.0013]","[0.2196, 0.0015]","[0.2788, 0.0017]","[0.0464, 0.0008]"
CE-VAE,200,0.0001,0.0001,0.001,0.1,1,,0.001,600,0.2,Adam,"[0.4093, 0.0068]","[0.4372, 0.0062]","[0.4459, 0.0059]","[0.3127, 0.0078]","[0.3016, 0.002]","[0.5198, 0.0057]","[0.4922, 0.0054]","[0.4726, 0.0053]","[0.3666, 0.0073]","[0.2584, 0.0017]","[0.1559, 0.0013]","[0.2196, 0.0015]","[0.2788, 0.0017]","[0.0464, 0.0008]"
CE-VAE,200,0.0001,0.0001,0.001,1,1,,0.0001,600,0.2,Adam,"[0.581, 0.007]","[0.5782, 0.0065]","[0.5744, 0.0062]","[0.5818, 0.0081]","[0.3908, 0.0022]","[0.5772, 0.0063]","[0.5685, 0.0059]","[0.5595, 0.0058]","[0.5824, 0.0072]","[0.3114, 0.0019]","[0.1751, 0.0016]","[0.2574, 0.0019]","[0.3361, 0.002]","[0.0878, 0.0011]"
CE-VAE,200,0.0001,0.0001,0.001,1,1,,0.0005,600,0.2,Adam,"[0.4093, 0.0068]","[0.4372, 0.0062]","[0.4459, 0.0059]","[0.3127, 0.0078]","[0.3016, 0.002]","[0.5198, 0.0057]","[0.4922, 0.0054]","[0.4726, 0.0053]","[0.3666, 0.0073]","[0.2584, 0.0017]","[0.1559, 0.0013]","[0.2196, 0.0015]","[0.2788, 0.0017]","[0.0464, 0.0008]"
CE-VAE,200,0.0001,0.0001,0.001,1,1,,0.001,600,0.2,Adam,"[0.4093, 0.0068]","[0.4372, 0.0062]","[0.4459, 0.0059]","[0.3127, 0.0078]","[0.3016, 0.002]","[0.5198, 0.0057]","[0.4922, 0.0054]","[0.4726, 0.0053]","[0.3666, 0.0073]","[0.2584, 0.0017]","[0.1559, 0.0013]","[0.2196, 0.0015]","[0.2788, 0.0017]","[0.0464, 0.0008]"
CE-VAE,200,0.0001,0.0001,0.01,0.0001,1,,0.0001,600,0.2,Adam,"[0.848, 0.0045]","[0.8313, 0.0044]","[0.8159, 0.0044]","[0.8668, 0.0051]","[0.5821, 0.0029]","[0.815, 0.0046]","[0.7856, 0.0049]","[0.7572, 0.0051]","[0.8481, 0.0049]","[0.4627, 0.0031]","[0.2784, 0.0028]","[0.3922, 0.0034]","[0.493, 0.0036]","[0.1493, 0.0018]"
CE-VAE,200,0.0001,0.0001,0.01,0.0001,1,,0.0005,600,0.2,Adam,"[0.4093, 0.0068]","[0.4372, 0.0062]","[0.4459, 0.0059]","[0.3127, 0.0078]","[0.3016, 0.002]","[0.5198, 0.0057]","[0.4922, 0.0054]","[0.4726, 0.0053]","[0.3666, 0.0073]","[0.2584, 0.0017]","[0.1559, 0.0013]","[0.2196, 0.0015]","[0.2788, 0.0017]","[0.0464, 0.0008]"
CE-VAE,200,0.0001,0.0001,0.01,0.0001,1,,0.001,600,0.2,Adam,"[0.4093, 0.0068]","[0.4372, 0.0062]","[0.4459, 0.0059]","[0.3127, 0.0078]","[0.3016, 0.002]","[0.5198, 0.0057]","[0.4922, 0.0054]","[0.4726, 0.0053]","[0.3666, 0.0073]","[0.2584, 0.0017]","[0.1559, 0.0013]","[0.2196, 0.0015]","[0.2788, 0.0017]","[0.0464, 0.0008]"
