model,rank,beta,lambda_l2,lambda_keyphrase,lambda_latent,lambda_rating,topK,learning_rate,epoch,corruption,optimizer,MAP@10,MAP@15,MAP@20,MAP@5,MAP@50,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
E-CDE-VAE,100,0.0001,0.0001,0.01,0.0001,1.0,,0.001,600,0.5,Adam,"[0.0021, 0.0005]","[0.0021, 0.0004]","[0.002, 0.0003]","[0.0021, 0.0006]","[0.002, 0.0002]","[0.0051, 0.0006]","[0.0021, 0.0004]","[0.0019, 0.0003]","[0.002, 0.0003]","[0.002, 0.0005]","[0.0019, 0.0002]","[0.0019, 0.0003]","[0.0021, 0.0007]","[0.0034, 0.0009]","[0.0044, 0.001]","[0.0014, 0.0007]","[0.0106, 0.0015]"
E-CDE-VAE,100,0.0001,0.0001,0.01,0.001,1.0,,0.0001,600,0.5,Adam,"[0.0445, 0.0024]","[0.0415, 0.002]","[0.0393, 0.0018]","[0.0492, 0.0032]","[0.0317, 0.0012]","[0.0999, 0.0034]","[0.0374, 0.0017]","[0.0343, 0.0014]","[0.0317, 0.0012]","[0.0436, 0.0024]","[0.0233, 0.0008]","[0.0418, 0.0026]","[0.0694, 0.0042]","[0.0923, 0.0047]","[0.1112, 0.0051]","[0.0426, 0.0034]","[0.1928, 0.0063]"
E-CDE-VAE,100,0.0001,0.0001,0.01,0.001,1.0,,0.0005,600,0.5,Adam,"[0.0368, 0.0022]","[0.0346, 0.0018]","[0.0329, 0.0016]","[0.04, 0.0029]","[0.0273, 0.0011]","[0.082, 0.0029]","[0.032, 0.0016]","[0.0291, 0.0013]","[0.0275, 0.0011]","[0.0364, 0.0022]","[0.021, 0.0007]","[0.0332, 0.0021]","[0.053, 0.0035]","[0.0726, 0.0041]","[0.0892, 0.0045]","[0.0309, 0.0027]","[0.1611, 0.0057]"
E-CDE-VAE,100,0.0001,0.0001,0.01,0.001,1.0,,0.001,600,0.5,Adam,"[0.0021, 0.0005]","[0.0021, 0.0004]","[0.002, 0.0003]","[0.0021, 0.0006]","[0.002, 0.0002]","[0.0051, 0.0006]","[0.0021, 0.0004]","[0.0019, 0.0003]","[0.002, 0.0003]","[0.002, 0.0005]","[0.0019, 0.0002]","[0.0019, 0.0003]","[0.0021, 0.0007]","[0.0034, 0.0009]","[0.0044, 0.001]","[0.0014, 0.0007]","[0.0106, 0.0015]"
E-CDE-VAE,100,0.0001,0.0001,0.01,0.01,1.0,,0.0001,600,0.5,Adam,"[0.0436, 0.0024]","[0.0405, 0.002]","[0.0382, 0.0017]","[0.0486, 0.0032]","[0.0308, 0.0011]","[0.0982, 0.0033]","[0.0367, 0.0016]","[0.0329, 0.0013]","[0.0302, 0.0012]","[0.0431, 0.0024]","[0.023, 0.0007]","[0.0406, 0.0025]","[0.0676, 0.0041]","[0.0887, 0.0046]","[0.1063, 0.0049]","[0.0427, 0.0034]","[0.192, 0.0063]"
E-CDE-VAE,100,0.0001,0.0001,0.01,0.01,1.0,,0.0005,600,0.5,Adam,"[0.0021, 0.0005]","[0.0021, 0.0004]","[0.002, 0.0003]","[0.0021, 0.0006]","[0.002, 0.0002]","[0.0051, 0.0006]","[0.0021, 0.0004]","[0.0019, 0.0003]","[0.002, 0.0003]","[0.002, 0.0005]","[0.0019, 0.0002]","[0.0019, 0.0003]","[0.0021, 0.0007]","[0.0034, 0.0009]","[0.0044, 0.001]","[0.0014, 0.0007]","[0.0106, 0.0015]"
E-CDE-VAE,100,0.0001,0.0001,0.01,0.01,1.0,,0.001,600,0.5,Adam,"[0.0021, 0.0005]","[0.0021, 0.0004]","[0.002, 0.0003]","[0.0021, 0.0006]","[0.002, 0.0002]","[0.0051, 0.0006]","[0.0021, 0.0004]","[0.0019, 0.0003]","[0.002, 0.0003]","[0.002, 0.0005]","[0.0019, 0.0002]","[0.0019, 0.0003]","[0.0021, 0.0007]","[0.0034, 0.0009]","[0.0044, 0.001]","[0.0014, 0.0007]","[0.0106, 0.0015]"
E-CDE-VAE,100,0.0001,0.0001,0.01,0.1,1.0,,0.0001,600,0.5,Adam,"[0.0412, 0.0023]","[0.0389, 0.0019]","[0.037, 0.0017]","[0.0441, 0.003]","[0.0304, 0.0011]","[0.0936, 0.0031]","[0.0365, 0.0017]","[0.033, 0.0014]","[0.0303, 0.0012]","[0.0409, 0.0024]","[0.0229, 0.0008]","[0.0369, 0.0023]","[0.0663, 0.004]","[0.0872, 0.0046]","[0.1048, 0.0049]","[0.038, 0.0032]","[0.185, 0.0061]"
E-CDE-VAE,100,0.0001,0.0001,0.01,0.1,1.0,,0.0005,600,0.5,Adam,"[0.0021, 0.0005]","[0.0021, 0.0004]","[0.002, 0.0003]","[0.0021, 0.0006]","[0.002, 0.0002]","[0.0051, 0.0006]","[0.0021, 0.0004]","[0.0019, 0.0003]","[0.002, 0.0003]","[0.002, 0.0005]","[0.0019, 0.0002]","[0.0019, 0.0003]","[0.0021, 0.0007]","[0.0034, 0.0009]","[0.0044, 0.001]","[0.0014, 0.0007]","[0.0106, 0.0015]"
E-CDE-VAE,100,0.0001,0.0001,0.01,0.1,1.0,,0.001,600,0.5,Adam,"[0.0021, 0.0005]","[0.0021, 0.0004]","[0.002, 0.0003]","[0.0021, 0.0006]","[0.002, 0.0002]","[0.0051, 0.0006]","[0.0021, 0.0004]","[0.0019, 0.0003]","[0.002, 0.0003]","[0.002, 0.0005]","[0.0019, 0.0002]","[0.0019, 0.0003]","[0.0021, 0.0007]","[0.0034, 0.0009]","[0.0044, 0.001]","[0.0014, 0.0007]","[0.0106, 0.0015]"
E-CDE-VAE,100,0.0001,0.0001,0.01,1.0,1.0,,0.0001,600,0.5,Adam,"[0.0366, 0.0021]","[0.035, 0.0018]","[0.0337, 0.0016]","[0.0389, 0.0027]","[0.0284, 0.0011]","[0.0877, 0.0029]","[0.0332, 0.0016]","[0.031, 0.0013]","[0.0289, 0.0012]","[0.0367, 0.0022]","[0.0223, 0.0008]","[0.0327, 0.002]","[0.0595, 0.0039]","[0.0819, 0.0045]","[0.0986, 0.0048]","[0.0345, 0.0031]","[0.1782, 0.006]"
