model,rank,beta,lambda_l2,lambda_keyphrase,lambda_latent,lambda_rating,topK,learning_rate,epoch,corruption,optimizer,MAP@10,MAP@15,MAP@20,MAP@5,MAP@50,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
E-CDE-VAE,200,0.0001,0.0001,0.001,0.01,1.0,,0.0001,300,0.2,Adam,"[0.0607, 0.0029]","[0.0544, 0.0024]","[0.0498, 0.0021]","[0.0703, 0.0039]","[0.036, 0.0013]","[0.1521, 0.0047]","[0.0464, 0.0019]","[0.0393, 0.0015]","[0.0344, 0.0013]","[0.0603, 0.0029]","[0.0221, 0.0007]","[0.0622, 0.0036]","[0.1336, 0.0059]","[0.1673, 0.0066]","[0.1921, 0.0069]","[0.0884, 0.0049]","[0.2973, 0.008]"
E-CDE-VAE,200,0.0001,0.0001,0.001,0.01,1.0,,0.0005,300,0.2,Adam,"[0.0587, 0.0028]","[0.0523, 0.0023]","[0.0477, 0.002]","[0.0686, 0.0038]","[0.0338, 0.0012]","[0.1456, 0.0048]","[0.044, 0.0018]","[0.0368, 0.0014]","[0.0323, 0.0012]","[0.0587, 0.0029]","[0.0199, 0.0006]","[0.0618, 0.0037]","[0.1306, 0.0059]","[0.1615, 0.0065]","[0.1854, 0.0069]","[0.089, 0.0049]","[0.2789, 0.0079]"
E-CDE-VAE,200,0.0001,0.0001,0.001,0.01,1.0,,0.001,300,0.2,Adam,"[0.001, 0.0003]","[0.0009, 0.0003]","[0.0009, 0.0002]","[0.0011, 0.0005]","[0.0008, 0.0002]","[0.0035, 0.0006]","[0.0008, 0.0002]","[0.0008, 0.0002]","[0.0008, 0.0002]","[0.001, 0.0003]","[0.0007, 0.0001]","[0.0009, 0.0004]","[0.0016, 0.0006]","[0.0027, 0.0008]","[0.0035, 0.0009]","[0.0011, 0.0005]","[0.009, 0.0015]"
E-CDE-VAE,200,0.0001,0.0001,0.001,0.1,1.0,,0.0001,300,0.2,Adam,"[0.0543, 0.0027]","[0.0491, 0.0023]","[0.0453, 0.002]","[0.0621, 0.0037]","[0.0335, 0.0012]","[0.1419, 0.0045]","[0.0423, 0.0018]","[0.0367, 0.0015]","[0.0324, 0.0012]","[0.0542, 0.0028]","[0.0214, 0.0007]","[0.0573, 0.0035]","[0.1199, 0.0056]","[0.1536, 0.0063]","[0.1804, 0.0067]","[0.0788, 0.0046]","[0.2854, 0.0079]"
E-CDE-VAE,200,0.0001,0.0001,0.001,0.1,1.0,,0.0005,300,0.2,Adam,"[0.0512, 0.0026]","[0.0458, 0.0022]","[0.0419, 0.0019]","[0.0592, 0.0036]","[0.0302, 0.0011]","[0.132, 0.0045]","[0.039, 0.0017]","[0.0329, 0.0013]","[0.029, 0.0011]","[0.051, 0.0027]","[0.0184, 0.0006]","[0.054, 0.0035]","[0.1147, 0.0056]","[0.1443, 0.0062]","[0.1681, 0.0066]","[0.0765, 0.0046]","[0.2609, 0.0078]"
E-CDE-VAE,200,0.0001,0.0001,0.001,0.1,1.0,,0.001,300,0.2,Adam,"[0.001, 0.0003]","[0.0009, 0.0003]","[0.0009, 0.0002]","[0.0011, 0.0005]","[0.0008, 0.0002]","[0.0035, 0.0006]","[0.0008, 0.0002]","[0.0008, 0.0002]","[0.0008, 0.0002]","[0.001, 0.0003]","[0.0007, 0.0001]","[0.0009, 0.0004]","[0.0016, 0.0006]","[0.0027, 0.0008]","[0.0035, 0.0009]","[0.0011, 0.0005]","[0.009, 0.0015]"
E-CDE-VAE,200,0.0001,0.0001,0.001,1.0,1.0,,0.0001,300,0.2,Adam,"[0.0444, 0.0025]","[0.0409, 0.0021]","[0.0381, 0.0018]","[0.0496, 0.0033]","[0.0288, 0.0011]","[0.1213, 0.0041]","[0.0368, 0.0017]","[0.0321, 0.0014]","[0.0285, 0.0011]","[0.0441, 0.0025]","[0.0189, 0.0007]","[0.0456, 0.0031]","[0.1022, 0.0052]","[0.132, 0.0058]","[0.1552, 0.0062]","[0.063, 0.0041]","[0.2514, 0.0075]"
E-CDE-VAE,200,0.0001,0.0001,0.001,1.0,1.0,,0.0005,300,0.2,Adam,"[0.0418, 0.0023]","[0.038, 0.0019]","[0.0351, 0.0017]","[0.047, 0.0032]","[0.0259, 0.001]","[0.1123, 0.0041]","[0.0333, 0.0016]","[0.0286, 0.0012]","[0.0254, 0.001]","[0.0421, 0.0024]","[0.0164, 0.0006]","[0.0423, 0.003]","[0.0984, 0.0052]","[0.1252, 0.0058]","[0.1467, 0.0062]","[0.0628, 0.0041]","[0.2296, 0.0074]"
E-CDE-VAE,200,0.0001,0.0001,0.001,1.0,1.0,,0.001,300,0.2,Adam,"[0.0322, 0.0021]","[0.0293, 0.0018]","[0.0272, 0.0015]","[0.0365, 0.0029]","[0.0203, 0.0009]","[0.088, 0.0037]","[0.0259, 0.0014]","[0.0222, 0.0011]","[0.0196, 0.0009]","[0.0319, 0.0022]","[0.0132, 0.0005]","[0.0325, 0.0027]","[0.0745, 0.0046]","[0.0951, 0.0052]","[0.1108, 0.0055]","[0.047, 0.0037]","[0.1822, 0.0068]"
E-CDE-VAE,200,0.0001,0.0001,0.01,0.0001,1.0,,0.0001,300,0.2,Adam,"[0.0584, 0.0028]","[0.0528, 0.0023]","[0.0486, 0.002]","[0.0667, 0.0038]","[0.0355, 0.0013]","[0.1495, 0.0046]","[0.0455, 0.0019]","[0.0391, 0.0015]","[0.0344, 0.0013]","[0.0592, 0.0029]","[0.0222, 0.0007]","[0.0586, 0.0035]","[0.1303, 0.0058]","[0.1655, 0.0065]","[0.1924, 0.0069]","[0.0867, 0.0048]","[0.2975, 0.008]"
E-CDE-VAE,200,0.0001,0.0001,0.01,0.0001,1.0,,0.0005,300,0.2,Adam,"[0.0538, 0.0027]","[0.048, 0.0022]","[0.0439, 0.0019]","[0.0628, 0.0037]","[0.0313, 0.0012]","[0.1342, 0.0046]","[0.0406, 0.0018]","[0.0342, 0.0014]","[0.0298, 0.0011]","[0.0529, 0.0027]","[0.0187, 0.0006]","[0.0565, 0.0035]","[0.1182, 0.0056]","[0.1472, 0.0062]","[0.1692, 0.0066]","[0.0791, 0.0047]","[0.2571, 0.0077]"
E-CDE-VAE,200,0.0001,0.0001,0.01,0.0001,1.0,,0.001,300,0.2,Adam,"[0.001, 0.0003]","[0.0009, 0.0003]","[0.0009, 0.0002]","[0.0011, 0.0005]","[0.0008, 0.0002]","[0.0035, 0.0006]","[0.0008, 0.0002]","[0.0008, 0.0002]","[0.0008, 0.0002]","[0.001, 0.0003]","[0.0007, 0.0001]","[0.0009, 0.0004]","[0.0016, 0.0006]","[0.0027, 0.0008]","[0.0035, 0.0009]","[0.0011, 0.0005]","[0.009, 0.0015]"
