model,rank,beta,lambda_l2,lambda_keyphrase,lambda_latent,lambda_rating,topK,learning_rate,epoch,corruption,optimizer,MAP@10,MAP@15,MAP@20,MAP@5,MAP@50,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
S-E-CDE-VAE,200,0.0001,0.0001,0.001,0.01,1.0,,0.0001,300,0.5,Adam,"[0.0582, 0.0028]","[0.0525, 0.0023]","[0.0483, 0.002]","[0.0667, 0.0038]","[0.0354, 0.0013]","[0.1481, 0.0046]","[0.0455, 0.0019]","[0.0385, 0.0015]","[0.034, 0.0013]","[0.058, 0.0029]","[0.0222, 0.0008]","[0.058, 0.0034]","[0.1288, 0.0058]","[0.1605, 0.0064]","[0.1871, 0.0068]","[0.0835, 0.0047]","[0.2953, 0.008]"
S-E-CDE-VAE,200,0.0001,0.0001,0.001,0.01,1.0,,0.0005,300,0.5,Adam,"[0.0572, 0.0028]","[0.051, 0.0023]","[0.0466, 0.002]","[0.0665, 0.0038]","[0.0332, 0.0012]","[0.1433, 0.0047]","[0.0431, 0.0018]","[0.036, 0.0014]","[0.0316, 0.0012]","[0.0574, 0.0028]","[0.0196, 0.0006]","[0.0599, 0.0036]","[0.128, 0.0059]","[0.1583, 0.0065]","[0.1825, 0.0069]","[0.0876, 0.0049]","[0.2767, 0.0079]"
S-E-CDE-VAE,200,0.0001,0.0001,0.001,0.01,1.0,,0.001,300,0.5,Adam,"[0.001, 0.0003]","[0.0009, 0.0003]","[0.0009, 0.0002]","[0.0011, 0.0005]","[0.0008, 0.0002]","[0.0035, 0.0006]","[0.0008, 0.0002]","[0.0008, 0.0002]","[0.0008, 0.0002]","[0.001, 0.0003]","[0.0007, 0.0001]","[0.0009, 0.0004]","[0.0016, 0.0006]","[0.0027, 0.0008]","[0.0035, 0.0009]","[0.0011, 0.0005]","[0.009, 0.0015]"
S-E-CDE-VAE,200,0.0001,0.0001,0.001,0.1,1.0,,0.0001,300,0.5,Adam,"[0.0576, 0.0028]","[0.052, 0.0023]","[0.048, 0.002]","[0.0659, 0.0038]","[0.0353, 0.0013]","[0.1482, 0.0046]","[0.0451, 0.0019]","[0.0385, 0.0015]","[0.0343, 0.0013]","[0.0565, 0.0028]","[0.0223, 0.0008]","[0.0588, 0.0035]","[0.1268, 0.0058]","[0.1601, 0.0064]","[0.188, 0.0068]","[0.0821, 0.0047]","[0.2955, 0.008]"
S-E-CDE-VAE,200,0.0001,0.0001,0.001,0.1,1.0,,0.0005,300,0.5,Adam,"[0.0582, 0.0028]","[0.0519, 0.0023]","[0.0473, 0.002]","[0.0678, 0.0038]","[0.0336, 0.0012]","[0.1448, 0.0048]","[0.0441, 0.0018]","[0.0366, 0.0014]","[0.0322, 0.0012]","[0.0582, 0.0029]","[0.0198, 0.0006]","[0.0612, 0.0036]","[0.1291, 0.0059]","[0.1602, 0.0065]","[0.1868, 0.0069]","[0.0878, 0.0049]","[0.2788, 0.008]"
S-E-CDE-VAE,200,0.0001,0.0001,0.001,0.1,1.0,,0.001,300,0.5,Adam,"[0.001, 0.0003]","[0.0009, 0.0003]","[0.0009, 0.0002]","[0.0011, 0.0005]","[0.0008, 0.0002]","[0.0035, 0.0006]","[0.0008, 0.0002]","[0.0008, 0.0002]","[0.0008, 0.0002]","[0.001, 0.0003]","[0.0007, 0.0001]","[0.0009, 0.0004]","[0.0016, 0.0006]","[0.0027, 0.0008]","[0.0035, 0.0009]","[0.0011, 0.0005]","[0.009, 0.0015]"
S-E-CDE-VAE,200,0.0001,0.0001,0.001,1.0,1.0,,0.0001,300,0.5,Adam,"[0.058, 0.0028]","[0.0523, 0.0023]","[0.0482, 0.002]","[0.0662, 0.0038]","[0.0354, 0.0013]","[0.1486, 0.0046]","[0.0451, 0.0019]","[0.0384, 0.0015]","[0.0344, 0.0013]","[0.0581, 0.0029]","[0.0223, 0.0008]","[0.0581, 0.0035]","[0.1271, 0.0058]","[0.1594, 0.0064]","[0.1882, 0.0068]","[0.0834, 0.0047]","[0.2969, 0.008]"
S-E-CDE-VAE,200,0.0001,0.0001,0.001,1.0,1.0,,0.0005,300,0.5,Adam,"[0.0578, 0.0028]","[0.0516, 0.0023]","[0.0471, 0.002]","[0.0673, 0.0038]","[0.0335, 0.0012]","[0.1451, 0.0047]","[0.0435, 0.0018]","[0.0368, 0.0014]","[0.0322, 0.0012]","[0.0571, 0.0028]","[0.02, 0.0006]","[0.0601, 0.0036]","[0.1288, 0.0059]","[0.1607, 0.0065]","[0.1852, 0.0069]","[0.0865, 0.0049]","[0.2792, 0.0079]"
S-E-CDE-VAE,200,0.0001,0.0001,0.001,1.0,1.0,,0.001,300,0.5,Adam,"[0.0538, 0.0027]","[0.048, 0.0022]","[0.0438, 0.0019]","[0.0625, 0.0037]","[0.0311, 0.0012]","[0.134, 0.0046]","[0.0405, 0.0018]","[0.034, 0.0013]","[0.0295, 0.0011]","[0.0533, 0.0027]","[0.0183, 0.0006]","[0.0563, 0.0035]","[0.1203, 0.0057]","[0.1498, 0.0063]","[0.1707, 0.0067]","[0.0808, 0.0047]","[0.2565, 0.0078]"
S-E-CDE-VAE,200,0.0001,0.0001,0.01,0.0001,1.0,,0.0001,300,0.5,Adam,"[0.0584, 0.0028]","[0.0527, 0.0023]","[0.0485, 0.002]","[0.0671, 0.0038]","[0.0355, 0.0013]","[0.1487, 0.0046]","[0.0455, 0.0019]","[0.0389, 0.0015]","[0.0342, 0.0013]","[0.0583, 0.0029]","[0.0222, 0.0007]","[0.0595, 0.0035]","[0.1293, 0.0058]","[0.1612, 0.0064]","[0.1877, 0.0068]","[0.085, 0.0048]","[0.2941, 0.008]"
